
78.8,31.23359580052493,9.560180842691487,0,0,0,0,0,1,-0.125,3,0,4,0,0,4,
79.0,31.23359580052493,9.560180842691487,0,0,0,0,0,1,-0.125,3,0,4,0,0,4,
78.2,31.23359580052493,9.560180842691487,0,0,0,0,0,1,-0.125,3,0,4,0,0,4,
78.9,31.23359580052493,9.560180842691487,0,0,0,0,0,1,-0.125,3,0,4,0,0,4,
75.8,31.23359580052493,9.560180842691487,0,0,0,0,0,1,-0.125,3,0,4,0,0,4,
80.5,31.23359580052493,9.560180842691487,0,0,0,0,0,1,-0.125,3,0,4,0,0,4,
76.1,31.23359580052493,9.560180842691487,0,0,0,0,0,1,-0.125,3,0,4,0,0,4,
79.10000000000001,31.23359580052493,9.560180842691487,0,0,0,0,0,1,-0.125,3,0,4,0,0,4,
77.60000000000001,31.23359580052493,9.560180842691487,0,0,0,0,0,1,-0.125,3,0,4,0,0,4,
78.8,31.23359580052493,9.560180842691487,0,0,0,0,0,1,-0.125,3,0,4,0,0,4,
